Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Notes
physics,Einstein’s mass/energy relationship ,Albert Einstein,male,concept,German,Europe,
physics,Einstein’s mass/energy relationship ,Albert Einstein,male,concept,German,Europe,
physics,Newton’s Laws of Motion,Isaac Newton,male,concept,English,Europe,
physics,Safety for motorists and other road users has been substantially increased through application of Newton’s laws and conservation of momentum,Isaac Newton,male,concept,English,Europe,
physics,Newton’s three Laws of Motion,Isaac Newton,male,concept,English,Europe,
physics,Newton’s Laws of Motion,Isaac Newton,male,concept,English,Europe,
physics,Newton’s Laws of Motion,Isaac Newton,male,concept,English,Europe,
physics,Newton’s Laws of Universal Gravitation,Isaac Newton,male,concept,English,Europe,
physics,Newton’s Laws of Universal Gravitation,Isaac Newton,male,concept,English,Europe,
physics,Observations of objects travelling at very high speeds cannot be explained by Newtonian physics,Isaac Newton,male,concept,English,Europe,
physics,Einstein’s special theory of relativity predicts significantly different results to those of Newtonian physics for velocities approaching the speed of light,Albert Einstein;Isaac Newton,male;male,concept;concept,German;English,Europe;Europe,
physics,Kepler’s laws of planetary motion ,Johannes Kepler,male,concept,German,Europe,
physics,Coulomb's Law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Lenz’s Law of electromagnetic induction,Heinrich Lenz,male,concept,Russian,Europe,
physics,the Bohr model of the atom,Niels Bohr,male,concept,Danish,Europe,
physics,the Bohr model of the atom,Niels Bohr,male,concept,Danish,Europe,
physics,Thomas Young showed through experimentation that light passing through a double slit showed interference and thus wave properties,Thomas Young,male,scientist,English,Europe,
physics,Young's double slit demonstration,Thomas Young,male,concept,English,Europe,
physics,Young's double-slit experiment,Thomas Young,male,concept,English,Europe,
physics,Young's double slit experiment,Thomas Young,male,concept,English,Europe,
physics,"The wave explanation of Young’s double slit demonstration was initially rejected until other physicists, including Fresnel and Poisson",Augustin-Jean Fresnel;Simeon Poisson,male;male,scientist;scientist,French;French,Europe;Europe,
physics,"Later, in the 1860s, James Clerk Maxwell developed a theory of electromagnetism",James Maxwell,male,scientist,Scottish,Europe,
physics,Planck's constant,Max Planck,male,concept,German,Europe,
physics,Einstein's special theory of relativity,Albert Einstein,male,concept,German,Europe,
physics,Hubble's Law,Edwin Hubble,male,concept,American,North America,
physics,Hubble's Law,Edwin Hubble,male,concept,American,North America,
chemistry,"Findings from a range of scientific experiments contributed to the understanding of the atom, enabling scientists, including Dalton, Thomson, Rutherford, Bohr and Chadwick to develop models of atomic structure",John Dalton;Joseph Thomson;Ernest Rutherford;Niels Bohr;James Chadwick,male;male;male;male;male,scientist;scientist;scientist;scientist;scientist,English;English;New Zealander;Danish;English,Europe;Europe;Oceania;Europe;Europe,
chemistry,Avogadro's number,Amedeo Avogadro,male,concept,Italian,Europe,
chemistry,Lewis structure diagrams,Gilbert Lewis,male,concept,American,North America,
chemistry,Arrhenius model,Svante Arrhenius,male,concept,Swedish,Europe,
chemistry,Le Châtelier's Principle,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Le Châtelier's Principle,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Davy initially proposed that acids were substances that...,Humphry Davy,male,scientist,British,Europe,
chemistry,Arrhenius model,Svante Arrhenius,male,concept,Swedish,Europe,
chemistry,Brønsted‐Lowry,Johannes Bronsted;Thomas Lowry,male;male,concept,Danish;English,Europe;Europe,
chemistry,Brønsted‐Lowry,Johannes Bronsted;Thomas Lowry,male;male,concept,Danish;English,Europe;Europe,
chemistry,Brønsted‐Lowry,Johannes Bronsted;Thomas Lowry,male;male,concept,Danish;English,Europe;Europe,
chemistry,Leclanché cell,Georges Leclanche,male,concept,French,Europe,
chemistry,Haber process,Fritz Haber,male,concept,German,Europe,
biology,Punnett squares,Reginald Punnett,male,concept,British,Europe,
environment,"minerals can be characterised by their colour, streak, lustre, transparency, cleavage, fracture, hardness (Moh’s scale), magnetism, density",Friedrich Mohs,male,concept,German,Europe,This was an uneccessary edition. 